Sample Size:	4210.0	3327.0	3443.0	4733.0	3486.0	3273.0	3462.0	2717.0	2329.0	2577.0	2795.0	3400.0	2570.0	2302.0	2400.0	3069.0	2620.0	3258.0	2258.0	2980.0	2319.0	2471.0	2613.0	3196.0	2553.0	2775.0	2869.0	4427.0	3149.0	3923.0	3689.0	5126.0	4055.0	4109.0	3818.0	5877.0	5204.0	5442.0	4896.0	5992.0	4686.0	3516.0	3573.0	4484.0	3177.0	2827.0	3528.0	5458.0

Blue-billed Teal	0.0204276	0.027352	0.0241069	0.0232411	0.0195066	0.0186373	0.0228192	0.0191388	0.0231859	0.0236709	0.0225403	0.0132353	0.0159533	0.0095569	0.0158333	0.0156403	0.0179389	0.019644	0.0159433	0.0147651	0.0185425	0.0137596	0.0126292	0.0140801	0.0160595	0.0162162	0.0142907	0.0185227	0.0152429	0.0145297	0.0170778	0.0154116	0.0160296	0.011925	0.0151912	0.0173558	0.0165257	0.0172731	0.0232843	0.0208611	0.022834	0.0238908	0.0179121	0.0283229	0.0242367	0.019809	0.0178571	0.0153903	
Cape Shoveler	0.043943	0.0541028	0.0499564	0.0462709	0.0390132	0.0418576	0.0439053	0.048583	0.0472306	0.0454016	0.0415027	0.0335294	0.0315175	0.0356212	0.0341667	0.0407299	0.0427481	0.0488029	0.0349867	0.0419463	0.0401035	0.0404694	0.0401837	0.0409887	0.0419115	0.0475676	0.0533287	0.0476621	0.0616069	0.0525108	0.0571971	0.0600858	0.0535142	0.0603553	0.0526454	0.057172	0.0524596	0.0496141	0.0482026	0.0480641	0.0595391	0.0574516	0.0486986	0.0483943	0.0491029	0.048815	0.0467687	0.0428728	
Northern Shoveler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.688E-4	4.167E-4	0.0	0.0	0.0	0.0013286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
African Black Duck	0.0275534	0.0276525	0.0252687	0.0253539	0.0220884	0.0259701	0.0245523	0.0217151	0.0364964	0.0298797	0.0261181	0.0252941	0.0330739	0.0238923	0.0204167	0.030303	0.0358779	0.0319214	0.0327724	0.0275168	0.0314791	0.0295427	0.0267891	0.0353567	0.0364277	0.030991	0.0285814	0.0313982	0.0285805	0.0257456	0.0238547	0.0228248	0.0249075	0.0272572	0.0280251	0.0250128	0.0186395	0.0260933	0.0226716	0.0215287	0.0243278	0.032992	0.0274279	0.029438	0.0248662	0.0208702	0.0221088	0.0260169	
Yellow-billed Duck	0.1301663	0.1484821	0.1399942	0.1288823	0.1230637	0.1182401	0.1198729	0.1229297	0.1331043	0.1396973	0.1173524	0.1197059	0.1089494	0.1120765	0.10625	0.1186054	0.1167939	0.1316759	0.1009743	0.1147651	0.1155671	0.1056253	0.1094527	0.1079474	0.1233843	0.1207207	0.1289648	0.1201717	0.1368688	0.1330614	0.1209	0.1246586	0.1173859	0.1345826	0.1196962	0.1327208	0.1179862	0.1205439	0.1339869	0.1196595	0.1387111	0.1439135	0.129583	0.1297948	0.1277935	0.1376017	0.1247166	0.1255038	
Mallard	7.126E-4	0.0015029	2.904E-4	0.0010564	0.0011474	3.055E-4	5.777E-4	0.0014722	8.587E-4	0.0011641	0.0021467	8.824E-4	0.0015564	0.004344	0.0025	0.001955	0.0049618	0.0064457	0.0031001	0.0040268	0.0030185	0.0020235	0.0022962	0.0021902	0.0015	0.0014414	0.0034855	0.0045177	0.0044459	0.0035687	0.0029818	0.0048771	0.0024661	0.0043806	0.0041907	0.0037434	0.0030746	0.0036751	0.0053105	0.0028371	0.0051216	0.004835	0.002239	0.0020071	0.0015738	0.0021224	0.002551	0.0014657	
Wood Duck x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	2.889E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-billed Duck x Mallard (hybrid)	4.751E-4	9.017E-4	8.713E-4	0.0010564	5.737E-4	0.0012221	8.666E-4	7.361E-4	8.587E-4	7.761E-4	0.0014311	8.824E-4	3.891E-4	4.344E-4	4.167E-4	3.258E-4	0.001145	9.208E-4	0.0	3.356E-4	8.624E-4	4.047E-4	0.0	3.129E-4	0.0023502	0.0010811	3.486E-4	6.777E-4	9.527E-4	7.647E-4	8.132E-4	5.853E-4	7.398E-4	0.0017036	5.238E-4	1.702E-4	5.765E-4	7.35E-4	8.17E-4	3.338E-4	0.001067	5.688E-4	2.799E-4	0.0011151	9.443E-4	0.0	0.0011338	3.664E-4	
Cape Teal	0.0299287	0.037872	0.0328202	0.0327488	0.0275387	0.0268866	0.0303293	0.0368053	0.0343495	0.0291036	0.0318426	0.0291176	0.0225681	0.0286707	0.0270833	0.0368198	0.028626	0.0356047	0.0270151	0.0275168	0.033204	0.0311615	0.0260237	0.0272215	0.0372111	0.0281081	0.0334611	0.0302688	0.0387425	0.0277849	0.0376796	0.044089	0.0401973	0.0496471	0.0413829	0.0350519	0.0351653	0.0343624	0.030433	0.0277036	0.0379855	0.036405	0.0296669	0.0341213	0.0305319	0.038203	0.026644	0.0280322	
Red-billed Duck	0.0612827	0.0730388	0.0644787	0.0572576	0.0593804	0.0568286	0.0566147	0.0581524	0.0691284	0.064416	0.0608229	0.0482353	0.0509728	0.0421373	0.04	0.0570218	0.0519084	0.0546347	0.0385297	0.0540268	0.0478655	0.0449211	0.0459242	0.0478723	0.0540541	0.0421622	0.0460091	0.0422408	0.0577961	0.0458833	0.0490648	0.0450644	0.0490752	0.0469701	0.0458355	0.0469627	0.0430438	0.0461227	0.0488154	0.0492323	0.054204	0.0540387	0.0584943	0.0570919	0.0560277	0.0569508	0.0581066	0.0534995	
